固定参数
i,0.39
v,23400.0
p_sws,"0.755,0.753,0.751,0.755,0.755,0.757,0.759,0.755,0.751,0.749,0.747,0.745,0.743"
n_unit,"6,6,6,7,6,6,6,7,6,6,6,6,6"
w,0.7
t,0.18
Fn_K,1.25
p_in,0.3
loss_attu,20.0
section_seg_idx,"3,7"
vpc_coeff,0.82
kc_coeff,1.6

频率 (GHz),输出功率 (W)
130.0,339.4722
131.0,435.5589
132.0,503.0290
133.0,565.5902
134.0,610.6137
135.0,647.6071
136.0,670.3166
137.0,677.1436
138.0,655.6719
139.0,605.9042
140.0,541.8029
141.0,475.2864
142.0,404.2763
143.0,344.6681
144.0,296.7218
145.0,251.7494
146.0,214.7510
147.0,185.4169
148.0,168.1382
149.0,149.3951
150.0,137.9769
151.0,126.5925
152.0,119.4981
153.0,111.0821
154.0,106.2960
155.0,99.6134
156.0,93.2263
157.0,90.2333
158.0,88.0137
159.0,77.7203
160.0,71.4868
